,ip_str,host_nslookup,sshfp_for_hosts,sshKeys
20,3.105.50.166,box.franklinbridge.club,"['4 2 4781afccd2edef1325dcadb6bc679d318de48059a18386abcaed812c60cbd1ee', '1 2 456a61276b3f78e3e0a497695bce497038eacbe51023b48408d4801f05fd41a9', '3 2 411370f4d3f759bd154f5c4716a78afa2a0a9de86f5148b0cb9f6896b024db1e']","['4 2 R4GvzNLt7xMl3K22vGedMY3kgFmhg4aryu2BLGDL0e4=', '4 1 E0N3q/pPLIxNRrnTvBhCL5l1ado=', '3 2 QRNw9NP3Wb0VT1xHFqeK+ioKnehvUUiwy59olrAk2x4=', '3 1 4nT5+Xe4XhEIRkds+ZPzBa6/XZQ=']"
21,46.101.1.77,box.netweavings.me,"['4 2 87e8292929192893fd526d9861cfef9f04a956bd5b12deeec0ec4d8e91154d31', '1 2 77ab4c00557032ccbad279de889b9a2eed6ca0ec741a7155c14f0b10ac67e763', '2 2 d49b5d74aea6e3e843c9a9ec9f4d4c2c589c59308040cc4a302491774f184f18', '3 2 29a3626c6862ff6d89de5609598dfc0bbcbd0aa42b46f09612ed4a92a15cc6bf']","['4 2 h+gpKSkZKJP9Um2YYc/vnwSpVr1bEt7uwOxNjpEVTTE=', '4 1 RDhPJ4hnZ2IPM3G3NdMylm7itIU=', '3 2 KaNibGhi/22J3lYJWY38C7y9CqQrRvCWEu1KkqFcxr8=', '3 1 kI6kv85Zd0iXXKElQSRtnQF0rq8=', '1 2 d6tMAFVwMsy60nneiJuaLu1soOx0GnFVwU8LEKxn52M=', '1 1 9xQWcz7+7HJXRhwRyq339XWwU1c=', '2 2 1JtddK6m4+hDyansn01MLFicWTCAQMxKMCSRd08YTxg=', '2 1 CoHSvijC2rbomko3C80zav8Ma2c=']"
22,131.188.42.42,fautv.informatik.uni-erlangen.de,"['1 1 9e6d71069a3b2ed0a4099bf4422871436aec0112', '1 2 fd4529a20fe6bf9e51bc6c6fb7438c22aa5d5ccc2fa24528f4602de199e710a1']","['1 2 /UUpog/mv55RvGxvt0OMIqpdXMwvokUo9GAt4ZnnEKE=', '1 1 nm1xBpo7LtCkCZv0QihxQ2rsARI=', '1 2 /UUpog/mv55RvGxvt0OMIqpdXMwvokUo9GAt4ZnnEKE=', '1 1 nm1xBpo7LtCkCZv0QihxQ2rsARI=']"
23,139.162.143.153,box.asafgartner.com,"['3 2 ae6cdc3202279a19179f21f6a43fde0b8ddaa584db6d4beae64d7c48adce8759', '4 2 c7f813b13be650d874ed52c670b8d425847bb9a93ed1947bdba9e4b4a7d10e6b', '1 2 4a4fe8fcd70eaf854c7cee2584b47f9abdeb35dc4f9651a73b079a5e3aab1ab3']","['4 2 x/gTsTvmUNh07VLGcLjUJYR7uak+0ZR726nktKfRDms=', '4 1 cVS3i+wCTbKUVonIddjJNWt+4NY=', '3 2 rmzcMgInmhkXnyH2pD/eC43apYTbbUvq5k18SK3Oh1k=', '3 1 ITvxpskyk5zfIEci/hnmWWbIoG0=']"
24,198.71.6.35,nber12.nber.org,"['1 2 c44b8df11c6cdac17a77ffc348391db56de2b423b1a1b214f792caea5acce053', '1 1 7bbf5f1b1a023e9d0bff67170f16f358e3e45773', '3 1 3e192db8c877ee03eb48f2c6d3a0e317dc6a6be2', '3 2 975d76258096683672c697d0dba2da229863ee29c6b8a0d64d94c21f910d335a', '4 1 911edb1dac717518a692aa73df0f7fc3913a960e', '4 2 b0252fe1016b177c50c31c101144da17d2d3008672eedc8f0cf243c8e5b60f59']","['4 2 sCUv4QFrF3xQwxwQEUTaF9LTAIZy7tyPDPJDyOW2D1k=', '4 1 kR7bHaxxdRimkqpz3w9/w5E6lg4=', '3 2 l112JYCWaDZyxpfQ26LaIphj7inGuKDWTZTCH5ENM1o=', '3 1 PhktuMh37gPrSPLG06DjF9xqa+I=', '1 2 xEuN8Rxs2sF6d//DSDkdtW3itCOxobIU95LK6lrM4FM=', '1 1 e79fGxoCPp0L/2cXDxbzWOPkV3M=', '1 2 xEuN8Rxs2sF6d//DSDkdtW3itCOxobIU95LK6lrM4FM=', '1 1 e79fGxoCPp0L/2cXDxbzWOPkV3M=']"
25,51.159.70.18,box.topbrandsdaily.com,"['3 2 2ebf654ecdb1c497ef507563c1f267da2b8888eecf50d2717d36ad736f23de8e', '4 2 c47e699d1561b03108bd47ae1007eb1ff155f3037c0be5e3b6ba6532ee14c1f4', '1 2 7516b1e0df1bc0b63b4bb5f47b462cf369dcc5ac0f79a1b8eb315a024b9fb94d']","['4 2 xH5pnRVhsDEIvUeuEAfrH/FV8wN8C+XjtrplMu4UwfQ=', '4 1 itQl3b3DhcvJyLPb0yXDtEzMpU0=', '3 2 Lr9lTs2xxJfvUHVjwfJn2iuIiO7PUNJxfTatc28j3o4=', '3 1 4K47u4Q0a/eqvTbe/iOriMPGcAU=']"
26,51.222.207.7,box.temperworld.com,"['4 2 d07de62c5f3eabbe806efd18cee2e2ced9535944a00371a0893a1653d74acd57', '1 2 431ddf7980ed74619d088a0a30bafe78a2f331399177946c91c82b77ad0d90d3', '3 2 e72a01960b9fa8c2334c7bd587a39acf66422b0fef0c636e2e1dba880156939c']","['4 2 0H3mLF8+q76Abv0YzuLiztlTWUSgA3GgiToWU9dKzVc=', '4 1 bi7pDVD9KqVgbKa/rwhBBhEHxmI=', '3 2 5yoBlgufqMIzTHvVh6Oaz2ZCKw/vDGNuLh26iAFWk5w=', '3 1 hLv7Wh19MdNRISO1EtJ4jRN5sig=']"
27,175.45.180.138,box.paranel.au,"['1 2 cd37c43b9978ee8669d0d1be1b2a2179ea805742ad20cbfce548a9708cb72313', '3 2 c0ad9d34e0990909c2e11abe8802f431c14b846432e347720a514f31b231bd46', '4 2 155de581039e426eb34ef56ab370e9e96ac73a9f55d0463b1530c0dc3f121d60']","['4 2 FV3lgQOeQm6zTvVqs3Dp6WrHOp9V0EY7FTDA3D8SHWA=', '4 1 7obuafx3/dJVlMClM//QmruVSUY=', '3 2 wK2dNOCZCQnC4Rq+iAL0McFLhGQy40dyClFPMbIxvUY=', '3 1 IW9KP+F3ENepJfMBrh73volKMtM=']"
28,130.239.242.86,b-cn1026.hpc2n.umu.se,"['4 1 92f5416eb1eb547b9c5afd6dd67161f10fb105d7', '1 1 a4974a596737d89e96099d5ca896ab3fa5c0fb30', '3 1 6d30ed8675ea8d1a2c0674263f8c5a6b4add7ae5']","['4 2 Gwm4VSFuooSrm4IPMKtmBSNRqaBqlvhcDuraQVDr/sc=', '4 1 kvVBbrHrVHucWv1t1nFh8Q+xBdc=', '3 2 h4PggfWB8quV9vwFDiwW4NHfLFExOywRymZdqvZuHxg=', '3 1 bTDthnXqjRosBnQmP4xaa0rdeuU=', '1 2 e922Flw3JDtGaJigfARDYoxCERcYO7x/L50kpXglCPM=', '1 1 pJdKWWc32J6WCZ1cqJarP6XA+zA=', '1 2 e922Flw3JDtGaJigfARDYoxCERcYO7x/L50kpXglCPM=', '1 1 pJdKWWc32J6WCZ1cqJarP6XA+zA=']"
29,128.52.129.29,daphne.csail.mit.edu,"['2 1 2c77dc9f0353c760043d7d8a3460a060a90d5363', '3 1 91a7b0bf104c03f3206ff1e3b6cb5f4aa3070698', '1 2 1d4316efbe22e821b449787492877deaafd267d4491024abedebbc2773c4f2aa', '4 1 470d086216aa8692b326017da67f90ac4a1647aa', '1 1 06e2c3a377dfcab29a06eaf604d44e35330cfdc6', '2 2 9cc444b4a1015b5f6c20f8d71243b2534104c6228d769aa7b5b5d0857bce5d7f', '4 2 30da3ea78deae02c23189ff39f1ddc6444a43aca150bc1b48a0c1d3ac0297db0', '3 2 7ad0039a593f527a479fab714dd7e9ff0e1d81e721b0e7c5c9cbc36818949275']","['4 2 MNo+p43q4CwjGJ/znx3cZESkOsoVC8G0igwdOsApfbA=', '4 1 Rw0IYhaqhpKzJgF9pn+QrEoWR6o=', '3 2 etADmlk/UnpHn6txTdfp/w4dgechsOfFycvDaBiUknU=', '3 1 kaewvxBMA/Mgb/HjtstfSqMHBpg=', '1 2 HUMW774i6CG0SXh0kod96q/SZ9RJECSr7eu8J3PE8qo=', '1 1 BuLDo3ffyrKaBur2BNRONTMM/cY=', '1 2 HUMW774i6CG0SXh0kod96q/SZ9RJECSr7eu8J3PE8qo=', '1 1 BuLDo3ffyrKaBur2BNRONTMM/cY=', '1 2 HUMW774i6CG0SXh0kod96q/SZ9RJECSr7eu8J3PE8qo=', '1 1 BuLDo3ffyrKaBur2BNRONTMM/cY=']"
